"latitude","longitude","country","country_code","year","value","score","gdp","support","life_expectancy","freedom","trust","generosity"
61.92411,25.748151,"Finland","FIN",2017,27.4,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,"0.24548277258873",0.38261154294014
46.227638,2.213749,"France","FRA",2017,31.6,6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,"0.129762306809425",0.172502428293228
-0.803689,11.609444,"Gabon","GAB",2017,38,4.46500015258789,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,"0.0437853783369064",0.0760467872023582
55.378051,-3.435973,"United Kingdom","GBR",2017,35.1,6.71400022506714,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,"0.492774158716202",0.265428066253662
42.315407,43.356892,"Georgia","GEO",2017,37.9,4.28599977493286,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,"0.0540088154375553",0.251666635274887
39.074208,21.824312,"Greece","GRC",2017,34.4,5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,"0",0.04328977689147
15.199999,-86.241905,"Honduras","HND",2017,49.4,5.18100023269653,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,"0.236188873648643",0.0733454525470734
45.1,15.2,"Croatia","HRV",2017,30.4,5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,"0.248002976179123",0.0431031100451946
47.162494,19.503304,"Hungary","HUN",2017,30.6,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,"0.0784016624093056",0.0366369374096394
-0.789275,113.921327,"Indonesia","IDN",2017,38.8,5.26200008392334,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,"0.611704587936401",0.0153171354904771
53.41291,-8.24389,"Ireland","IRL",2017,31.4,6.97700023651123,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,"0.42785832285881",0.29838815331459
31.046051,34.851612,"Israel","ISR",2017,38.2,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,"0.330082654953003",0.0852421000599861
20.593684,78.96288,"India","IND",2017,35.9,4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,"0.231538489460945",0.0922268852591515
64.963051,-19.020835,"Iceland","ISL",2017,26.1,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,"0.475540220737457",0.153526559472084
41.87194,12.56738,"Italy","ITA",2017,35.9,5.96400022506714,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,"0.17278964817524",0.0280280914157629
48.019573,66.923684,"Kazakhstan","KAZ",2017,27.5,5.81899976730347,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,"0.201964423060417",0.119282886385918
-29.609988,28.233608,"Lesotho","LSO",2017,44.9,3.80800008773804,0.521021246910095,1.19009518623352,0,0.390661299228668,"0.157497271895409",0.119094640016556
55.169438,23.881275,"Lithuania","LTU",2017,37.3,5.90199995040894,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,"0.010164656676352",0.0118656428530812
49.815273,6.129583,"Luxembourg","LUX",2017,34.5,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,"0.283180981874466",0.31883442401886
56.879635,24.603189,"Latvia","LVA",2017,35.6,5.84999990463257,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,"0.153074786067009",0.0738427266478539
47.411631,28.369885,"Moldova","MDA",2017,25.9,5.83799982070923,0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,"0.208779126405716",0.0100912861526012
42.708678,19.37439,"Montenegro","MNE",2017,36.9,5.23699998855591,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,"0.197911024093628",0.0881741940975189
21.913965,95.956223,"Myanmar","MMR",2017,30.7,4.54500007629395,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,"0.838075160980225",0.188816204667091
35.937496,14.375416,"Malta","MLT",2017,29.2,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,"0.574730575084686",0.153066068887711
52.132633,5.291266,"Netherlands","NLD",2017,28.5,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,"0.470489829778671",0.282661825418472
60.472024,8.468946,"Norway","NOR",2017,27,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,"0.36201223731041",0.315963834524155
8.537981,-80.782127,"Panama","PAN",2017,49.9,6.4520001411438,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,"0.21055693924427",0.070983923971653
-9.189967,-75.015152,"Peru","PER",2017,43.3,5.71500015258789,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,"0.126819714903831",0.0470490865409374
51.919438,19.145136,"Poland","POL",2017,29.7,5.97300004959106,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,"0.158465966582298",0.0593078061938286
39.399872,-8.224454,"Portugal","PRT",2017,33.8,5.19500017166138,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,"0.0951027125120163",0.0158694516867399
-23.442503,-58.443832,"Paraguay","PRY",2017,48.5,5.49300003051758,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,"0.224150657653809",0.091065913438797
45.943161,24.96676,"Romania","ROU",2017,36,5.82499980926514,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,"0.133519917726517",0.00438790069893003
44.016521,21.005859,"Serbia","SRB",2017,36.2,5.39499998092651,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,"0.220125883817673",0.0409037806093693
60.128161,18.643501,"Sweden","SWE",2017,28.8,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,"0.385399252176285",0.384398728609085
46.151241,14.995463,"Slovenia","SVN",2017,24.2,5.75799989700317,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,"0.242649093270302",0.0451289787888527
